pred_111.pdb pLDDT:80.36 pTMscore:0.8341
pred_112.pdb pLDDT:80.33 pTMscore:0.8335
pred_113.pdb pLDDT:80.33 pTMscore:0.8410
pred_114.pdb pLDDT:80.32 pTMscore:0.8310
pred_115.pdb pLDDT:80.31 pTMscore:0.8179
pred_116.pdb pLDDT:80.27 pTMscore:0.8335
pred_117.pdb pLDDT:80.27 pTMscore:0.8288
pred_118.pdb pLDDT:80.25 pTMscore:0.8294
pred_119.pdb pLDDT:80.25 pTMscore:0.8279
pred_120.pdb pLDDT:80.23 pTMscore:0.8371
pred_121.pdb pLDDT:80.23 pTMscore:0.8184
pred_122.pdb pLDDT:80.23 pTMscore:0.8318
pred_123.pdb pLDDT:80.22 pTMscore:0.8336
pred_124.pdb pLDDT:80.22 pTMscore:0.8200
pred_125.pdb pLDDT:80.21 pTMscore:0.8279
pred_126.pdb pLDDT:80.21 pTMscore:0.8312
pred_127.pdb pLDDT:80.19 pTMscore:0.8248
pred_128.pdb pLDDT:80.18 pTMscore:0.8335
pred_129.pdb pLDDT:80.13 pTMscore:0.8267
pred_130.pdb pLDDT:80.12 pTMscore:0.8243
pred_131.pdb pLDDT:80.12 pTMscore:0.8209
pred_132.pdb pLDDT:80.12 pTMscore:0.8363
pred_133.pdb pLDDT:80.12 pTMscore:0.8277
pred_134.pdb pLDDT:80.09 pTMscore:0.8341
pred_135.pdb pLDDT:80.04 pTMscore:0.8293
pred_136.pdb pLDDT:80.04 pTMscore:0.8226
pred_137.pdb pLDDT:80.02 pTMscore:0.8356
pred_138.pdb pLDDT:80.00 pTMscore:0.8335
pred_139.pdb pLDDT:80.00 pTMscore:0.8349
pred_140.pdb pLDDT:79.98 pTMscore:0.8167
pred_141.pdb pLDDT:79.98 pTMscore:0.8319
pred_142.pdb pLDDT:79.98 pTMscore:0.8186
pred_143.pdb pLDDT:79.98 pTMscore:0.8287
pred_144.pdb pLDDT:79.97 pTMscore:0.8295
pred_145.pdb pLDDT:79.96 pTMscore:0.8282
pred_146.pdb pLDDT:79.90 pTMscore:0.8299
pred_147.pdb pLDDT:79.90 pTMscore:0.8234
pred_148.pdb pLDDT:79.87 pTMscore:0.8275
pred_149.pdb pLDDT:79.86 pTMscore:0.8245
pred_150.pdb pLDDT:79.85 pTMscore:0.8323
pred_151.pdb pLDDT:79.84 pTMscore:0.8267
pred_152.pdb pLDDT:79.84 pTMscore:0.8282
pred_153.pdb pLDDT:79.76 pTMscore:0.8277
pred_154.pdb pLDDT:79.74 pTMscore:0.8287
pred_155.pdb pLDDT:79.71 pTMscore:0.8025
pred_156.pdb pLDDT:79.70 pTMscore:0.8266
pred_157.pdb pLDDT:79.67 pTMscore:0.8300
pred_158.pdb pLDDT:79.66 pTMscore:0.8284
pred_159.pdb pLDDT:79.64 pTMscore:0.8208
pred_160.pdb pLDDT:79.62 pTMscore:0.8283
pred_161.pdb pLDDT:79.62 pTMscore:0.8251
pred_162.pdb pLDDT:79.62 pTMscore:0.8240
pred_163.pdb pLDDT:79.61 pTMscore:0.8303
pred_164.pdb pLDDT:79.59 pTMscore:0.8204
pred_165.pdb pLDDT:79.58 pTMscore:0.8224
pred_166.pdb pLDDT:79.57 pTMscore:0.8236
pred_167.pdb pLDDT:79.54 pTMscore:0.8263
pred_168.pdb pLDDT:79.52 pTMscore:0.8271
pred_169.pdb pLDDT:79.51 pTMscore:0.8245
pred_170.pdb pLDDT:79.51 pTMscore:0.8229
pred_171.pdb pLDDT:79.51 pTMscore:0.8209
pred_172.pdb pLDDT:79.51 pTMscore:0.8271
pred_173.pdb pLDDT:79.50 pTMscore:0.8255
pred_174.pdb pLDDT:79.49 pTMscore:0.8235
pred_175.pdb pLDDT:79.49 pTMscore:0.8253
pred_176.pdb pLDDT:79.49 pTMscore:0.8324
pred_177.pdb pLDDT:79.48 pTMscore:0.8256
pred_178.pdb pLDDT:79.46 pTMscore:0.8282
pred_179.pdb pLDDT:79.44 pTMscore:0.8251
pred_180.pdb pLDDT:79.40 pTMscore:0.8213
pred_181.pdb pLDDT:79.37 pTMscore:0.8249
pred_182.pdb pLDDT:79.36 pTMscore:0.8258
pred_183.pdb pLDDT:79.35 pTMscore:0.8268
pred_184.pdb pLDDT:79.35 pTMscore:0.8262
pred_185.pdb pLDDT:79.34 pTMscore:0.8247
pred_186.pdb pLDDT:79.34 pTMscore:0.8162
pred_187.pdb pLDDT:79.33 pTMscore:0.8195
pred_188.pdb pLDDT:79.33 pTMscore:0.8316
pred_189.pdb pLDDT:79.32 pTMscore:0.8189
pred_190.pdb pLDDT:79.32 pTMscore:0.8109
pred_191.pdb pLDDT:79.23 pTMscore:0.8275
pred_192.pdb pLDDT:79.20 pTMscore:0.8138
pred_193.pdb pLDDT:79.19 pTMscore:0.8169
pred_194.pdb pLDDT:79.15 pTMscore:0.8281
pred_195.pdb pLDDT:79.15 pTMscore:0.8158
pred_196.pdb pLDDT:79.14 pTMscore:0.8263
pred_197.pdb pLDDT:79.12 pTMscore:0.8203
pred_198.pdb pLDDT:79.09 pTMscore:0.8257
pred_199.pdb pLDDT:79.09 pTMscore:0.8285
pred_200.pdb pLDDT:79.08 pTMscore:0.8197
pred_201.pdb pLDDT:79.05 pTMscore:0.8255
pred_202.pdb pLDDT:79.04 pTMscore:0.8145
pred_203.pdb pLDDT:79.02 pTMscore:0.8228
pred_204.pdb pLDDT:79.00 pTMscore:0.8292
pred_205.pdb pLDDT:78.96 pTMscore:0.8268
pred_206.pdb pLDDT:78.91 pTMscore:0.8242
pred_207.pdb pLDDT:78.88 pTMscore:0.8204
pred_208.pdb pLDDT:78.85 pTMscore:0.8191
pred_209.pdb pLDDT:78.84 pTMscore:0.8055
pred_210.pdb pLDDT:78.82 pTMscore:0.8191
pred_211.pdb pLDDT:78.80 pTMscore:0.8143
pred_212.pdb pLDDT:78.73 pTMscore:0.8097
pred_213.pdb pLDDT:78.66 pTMscore:0.8183
pred_214.pdb pLDDT:78.65 pTMscore:0.8175
pred_215.pdb pLDDT:78.59 pTMscore:0.8159
pred_216.pdb pLDDT:78.51 pTMscore:0.8113
pred_217.pdb pLDDT:78.44 pTMscore:0.8262
pred_218.pdb pLDDT:78.43 pTMscore:0.8183
pred_219.pdb pLDDT:78.41 pTMscore:0.8101
pred_220.pdb pLDDT:78.38 pTMscore:0.8133
pred_221.pdb pLDDT:78.36 pTMscore:0.8017
pred_222.pdb pLDDT:78.34 pTMscore:0.8080
pred_223.pdb pLDDT:78.34 pTMscore:0.8043
pred_224.pdb pLDDT:78.31 pTMscore:0.8056
